# Constructed from biom file
#OTU ID	SRR7813263	SRR7813264	SRR7813265	SRR7813266	SRR7813267	SRR7813268	SRR7813269	SRR7813270	SRR7813271	SRR7813272	SRR7813273	SRR7813274	SRR7813275	SRR7813276	SRR7813277	SRR7813278	SRR7813279	SRR7813280	SRR7813281	SRR7813282	SRR7813283	SRR7813284	SRR7813285	SRR7813286	SRR7813287	SRR7813288	SRR7813289	SRR7813290	SRR7813291	SRR7813292	SRR7813293	SRR7813294	SRR7813295	SRR7813296	SRR7813297	SRR7813298	SRR7813299	SRR7813300	SRR7813301	SRR7813302	SRR7813303	SRR7813304	SRR7813305	SRR7813306	SRR7813307	SRR7813308	SRR7813309	SRR7813310	SRR7813311	SRR7813312	SRR7813313	SRR7813314	SRR7813315	SRR7813316	SRR7813317	SRR7813318	SRR7813319	SRR7813320	SRR7813321	SRR7813322	SRR7813323	SRR7813324	SRR7813325	SRR7813326	SRR7813327	SRR7813328	SRR7813329	SRR7813330	SRR7813331	SRR7813332	SRR7813333	SRR7813334	SRR7813335	SRR7813336	SRR7813337	SRR7813338	SRR7813339	SRR7813340	SRR7813341	SRR7813342	SRR7813343	SRR7813344	SRR7813345	SRR7813346	SRR7813347	SRR7813348	SRR7813349	SRR7813350	SRR7813351	SRR7813352	SRR7813353	SRR7813354	SRR7813355	SRR7813356	SRR7813357	SRR7813358	SRR7813359	SRR7813360	SRR7813361	SRR7813362	SRR7813363	SRR7813364	SRR7813365	SRR7813366	SRR7813367	SRR7813368	SRR7813369	SRR7813370	SRR7813371	SRR7813372	SRR7813373	SRR7813374	SRR7813375	SRR7813376	SRR7813377	SRR7813378	SRR7813379	SRR7813380	SRR7813381	SRR7813382	SRR7813383	SRR7813384	SRR7813385	SRR7813386	SRR7813387	SRR7813388	SRR7813389	SRR7813390	SRR7813391	SRR7813392	SRR7813393	SRR7813394	SRR7813395	SRR7813396	SRR7813397	SRR7813398	SRR7813399	SRR7813400	SRR7813401	SRR7813402	SRR7813403	SRR7813404	SRR7813405	SRR7813406	SRR7813407	SRR7813408	SRR7813409	SRR7813410	SRR7813411	SRR7813412	SRR7813413	SRR7813414	SRR7813415	SRR7813416	SRR7813417	SRR7813418	SRR7813419	SRR7813420	SRR7813421	SRR7813422	SRR7813424	SRR7813425	SRR7813426	SRR7813427	SRR7813428	SRR7813429	SRR7813430	SRR7813431	SRR7813432	SRR7813433	SRR7813434	SRR7813435	SRR7813436	SRR7813437	SRR7813438	SRR7813439	SRR7813440	SRR7813441	SRR7813442	SRR7813443	SRR7813444	SRR7813445	SRR7813446	SRR7813447	SRR7813448	SRR7813449	SRR7813450	SRR7813451	SRR7813452	SRR7813453	SRR7813454	SRR7813455	SRR7813456	SRR7813457	SRR7813458	SRR7813459	SRR7813460	SRR7813461	SRR7813462	SRR7813463	SRR7813464	SRR7813465	SRR7813466	SRR7813467	SRR7813468	SRR7813469	SRR7813470	SRR7813471	SRR7813472	SRR7813473	SRR7813474	SRR7813475	SRR7813476	SRR7813477	SRR7813478	SRR7813479	SRR7813480	SRR7813481	SRR7813482	SRR7813483	SRR7813484	SRR7813485	SRR7813486	SRR7813487	SRR7813488	SRR7813489	SRR7813490	SRR7813491	SRR7813492	SRR7813493	SRR7813494
f2ad15e3dbc4af754ec2994f4cf693f9	230.0	0.0	0.0	393.0	266.0	0.0	0.0	27.0	127.0	389.0	2113.0	0.0	0.0	0.0	0.0	0.0	13629.0	12878.0	0.0	0.0	0.0	2868.0	0.0	0.0	84.0	2304.0	77.0	0.0	563.0	260.0	2998.0	2412.0	0.0	4245.0	218.0	0.0	0.0	0.0	0.0	0.0	111.0	433.0	0.0	0.0	134.0	140.0	0.0	268.0	0.0	0.0	5683.0	0.0	632.0	84.0	10067.0	69.0	0.0	0.0	0.0	67.0	688.0	524.0	0.0	133.0	75.0	67.0	0.0	0.0	0.0	515.0	0.0	0.0	0.0	175.0	133.0	85.0	0.0	0.0	418.0	310.0	63.0	0.0	1681.0	1165.0	0.0	115.0	2.0	0.0	2324.0	472.0	0.0	5139.0	0.0	4245.0	20.0	0.0	0.0	0.0	202.0	10.0	5284.0	3850.0	0.0	0.0	14.0	0.0	0.0	196.0	4172.0	3426.0	377.0	4971.0	4879.0	0.0	0.0	0.0	31.0	31.0	0.0	193.0	2332.0	0.0	4402.0	13.0	1285.0	8158.0	7.0	0.0	1669.0	40.0	0.0	0.0	9.0	120.0	365.0	14.0	1371.0	0.0	0.0	404.0	114.0	0.0	0.0	463.0	266.0	0.0	0.0	113.0	152.0	0.0	282.0	0.0	885.0	629.0	0.0	0.0	0.0	264.0	482.0	424.0	79.0	0.0	2501.0	15327.0	0.0	0.0	150.0	1086.0	463.0	0.0	404.0	192.0	62.0	0.0	0.0	753.0	38.0	0.0	0.0	210.0	56.0	47.0	6685.0	845.0	0.0	2754.0	0.0	0.0	1323.0	166.0	573.0	4756.0	0.0	16.0	0.0	258.0	8049.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	407.0	0.0	0.0	0.0	23.0	0.0	111.0	0.0	2864.0	0.0	0.0	0.0	35.0	219.0	108.0	0.0	0.0	0.0	6980.0	1051.0	0.0	0.0	0.0	2226.0	383.0	0.0	2392.0
560c1859a98cd9c3d507169fcccac95f	4942.0	4.0	48.0	0.0	0.0	998.0	47.0	0.0	0.0	2551.0	0.0	78.0	0.0	0.0	96.0	56.0	14.0	0.0	0.0	116.0	556.0	1384.0	181.0	83.0	0.0	0.0	1000.0	0.0	415.0	276.0	245.0	1900.0	94.0	6206.0	5794.0	55.0	0.0	0.0	0.0	554.0	5759.0	4127.0	0.0	5907.0	0.0	0.0	378.0	0.0	305.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	244.0	0.0	13.0	10535.0	3362.0	0.0	748.0	282.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	125.0	350.0	2577.0	3438.0	797.0	0.0	2794.0	2682.0	0.0	0.0	0.0	0.0	4.0	580.0	0.0	364.0	856.0	880.0	14.0	0.0	1801.0	0.0	272.0	131.0	0.0	0.0	4740.0	72.0	366.0	1736.0	105.0	26.0	791.0	29.0	0.0	0.0	278.0	300.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6625.0	310.0	10.0	289.0	2.0	0.0	58.0	0.0	71.0	0.0	29.0	319.0	0.0	507.0	284.0	0.0	762.0	6.0	0.0	21.0	0.0	0.0	0.0	4653.0	1491.0	0.0	13.0	1101.0	67.0	2545.0	5590.0	476.0	9480.0	11122.0	0.0	640.0	48.0	3811.0	1614.0	871.0	0.0	0.0	0.0	0.0	33.0	956.0	905.0	3928.0	300.0	0.0	3995.0	0.0	0.0	0.0	43.0	5199.0	842.0	105.0	17.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	424.0	0.0	0.0	0.0	3.0	1568.0	312.0	1421.0	0.0	0.0	0.0	0.0	15.0	0.0	464.0	853.0	149.0	556.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	976.0	2790.0	0.0	0.0	58.0	32.0	0.0	0.0	3.0	0.0	26.0	0.0	178.0	19.0
276654454c61270d73b2ea47022ff925	213.0	176.0	46.0	47.0	481.0	3006.0	0.0	0.0	337.0	316.0	0.0	28.0	46.0	45.0	22.0	14.0	0.0	0.0	1092.0	41.0	0.0	208.0	0.0	241.0	988.0	7312.0	141.0	79.0	3274.0	6181.0	4944.0	0.0	5345.0	0.0	0.0	0.0	0.0	0.0	466.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	99.0	2563.0	60.0	0.0	2765.0	992.0	302.0	2960.0	1597.0	195.0	1543.0	2780.0	33.0	1556.0	321.0	18.0	7.0	11.0	7.0	0.0	57.0	7.0	6304.0	0.0	0.0	0.0	266.0	16.0	589.0	362.0	0.0	5157.0	710.0	195.0	0.0	936.0	4476.0	352.0	189.0	34.0	62.0	4487.0	1010.0	6206.0	313.0	727.0	0.0	118.0	149.0	0.0	40.0	510.0	0.0	5602.0	2302.0	0.0	0.0	0.0	173.0	153.0	14.0	18.0	18.0	4399.0	121.0	20.0	336.0	0.0	0.0	0.0	1537.0	30.0	0.0	2943.0	0.0	0.0	1373.0	0.0	5.0	9.0	0.0	0.0	479.0	14.0	83.0	99.0	4395.0	6998.0	127.0	0.0	0.0	0.0	273.0	877.0	621.0	588.0	397.0	738.0	0.0	46.0	44.0	54.0	707.0	705.0	0.0	183.0	119.0	136.0	0.0	0.0	389.0	903.0	1026.0	3809.0	1043.0	640.0	0.0	0.0	1035.0	2301.0	1411.0	575.0	248.0	0.0	0.0	0.0	0.0	0.0	785.0	26.0	63.0	20.0	0.0	0.0	109.0	0.0	0.0	0.0	89.0	8.0	33.0	688.0	288.0	129.0	0.0	0.0	11.0	513.0	533.0	11896.0	236.0	10.0	0.0	0.0	90.0	53.0	113.0	121.0	2501.0	0.0	0.0	11.0	14.0	0.0	462.0	1889.0	0.0	171.0	8.0	134.0	344.0	216.0	74.0	0.0	777.0	554.0	0.0	0.0	800.0	0.0	100.0	0.0	58.0	293.0
ac7454f2b802aa6a16652b7997edbf17	0.0	67.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1395.0	55.0	41.0	10.0	0.0	6901.0	928.0	0.0	0.0	0.0	0.0	2102.0	161.0	83.0	1398.0	115.0	0.0	57.0	20.0	409.0	0.0	9.0	283.0	52.0	0.0	0.0	0.0	715.0	0.0	0.0	1263.0	0.0	0.0	22.0	0.0	95.0	57.0	3475.0	1094.0	7846.0	106.0	0.0	1340.0	0.0	1383.0	572.0	0.0	12.0	0.0	52.0	0.0	0.0	566.0	16.0	318.0	2049.0	2552.0	0.0	0.0	111.0	132.0	65.0	22.0	1415.0	49.0	0.0	0.0	47.0	0.0	0.0	0.0	7944.0	1044.0	1129.0	104.0	10.0	0.0	0.0	0.0	135.0	0.0	0.0	116.0	614.0	576.0	0.0	0.0	22.0	8.0	0.0	0.0	522.0	1374.0	19.0	9193.0	0.0	4.0	0.0	0.0	0.0	73.0	2159.0	7511.0	7857.0	38.0	32.0	0.0	9.0	0.0	0.0	76.0	0.0	10.0	78.0	20.0	0.0	181.0	0.0	21.0	76.0	0.0	0.0	57.0	184.0	44.0	22.0	979.0	2302.0	1319.0	1428.0	4663.0	478.0	0.0	169.0	983.0	4482.0	0.0	0.0	100.0	64.0	95.0	273.0	0.0	0.0	0.0	0.0	338.0	686.0	2084.0	0.0	50.0	452.0	2211.0	0.0	655.0	1363.0	122.0	10800.0	0.0	0.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	124.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	5139.0	271.0	0.0	93.0	62.0	0.0	327.0	7.0	726.0	873.0	0.0	365.0	0.0	145.0	3348.0	6540.0	176.0	0.0	0.0	0.0	0.0	9.0	2212.0	0.0	0.0	0.0	18.0	16.0	0.0	0.0	0.0	0.0	517.0	0.0	0.0	7.0	87.0	0.0	71.0	5984.0	503.0	58.0
39ba0d9426db0f157a99e9d03f6b9945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1211.0	0.0	4397.0	2736.0	4627.0	7347.0	97.0	3537.0	0.0	435.0	0.0	0.0	0.0	746.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	533.0	0.0	0.0	0.0	6458.0	11450.0	6.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	7592.0	4166.0	4224.0	2027.0	0.0	188.0	254.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	840.0	6001.0	1845.0	0.0	0.0	235.0	0.0	1436.0	228.0	0.0	0.0	4704.0	42.0	55.0	0.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	0.0	0.0	0.0	2619.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	742.0	0.0	285.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	1338.0	0.0	0.0	0.0	0.0	3661.0	2141.0	2545.0	0.0	0.0	0.0	2244.0	31.0	8134.0	9745.0	0.0	0.0	0.0	0.0	0.0	0.0	3728.0	7317.0	6721.0	921.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	3.0	805.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1222.0	5415.0	0.0	5.0	479.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79286fc9dcd81c8fac1420ebea2dd8f1	0.0	887.0	349.0	0.0	0.0	329.0	1280.0	627.0	1597.0	274.0	0.0	922.0	0.0	0.0	552.0	781.0	0.0	0.0	0.0	363.0	1674.0	1892.0	875.0	2246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1099.0	170.0	0.0	51.0	568.0	7364.0	319.0	0.0	1865.0	1052.0	120.0	234.0	116.0	456.0	48.0	0.0	245.0	0.0	2664.0	0.0	1486.0	212.0	220.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	341.0	1097.0	0.0	0.0	399.0	33.0	16.0	1567.0	971.0	570.0	4694.0	0.0	0.0	741.0	73.0	0.0	0.0	0.0	204.0	603.0	2451.0	0.0	0.0	387.0	0.0	1250.0	1943.0	294.0	1370.0	0.0	0.0	0.0	128.0	62.0	53.0	59.0	0.0	646.0	0.0	1057.0	0.0	0.0	0.0	0.0	49.0	0.0	83.0	0.0	710.0	586.0	4067.0	663.0	1502.0	0.0	3624.0	54.0	324.0	0.0	0.0	284.0	1058.0	6.0	1728.0	0.0	342.0	0.0	0.0	0.0	464.0	0.0	4678.0	223.0	69.0	0.0	1291.0	0.0	0.0	0.0	807.0	104.0	994.0	0.0	0.0	0.0	594.0	221.0	79.0	174.0	2678.0	2192.0	0.0	0.0	1498.0	581.0	1959.0	0.0	9.0	5575.0	530.0	505.0	0.0	739.0	107.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	59.0	547.0	777.0	309.0	252.0	0.0	0.0	480.0	0.0	1004.0	0.0	10.0	2693.0	0.0	0.0	80.0	413.0	2621.0	0.0	0.0	681.0	502.0	880.0	2864.0	964.0	0.0	689.0	0.0	67.0	656.0	30.0	0.0	80.0	0.0	756.0	0.0	1068.0	7140.0	47.0	297.0	0.0	10.0	171.0	1657.0	158.0	0.0	195.0	137.0	0.0	330.0	0.0	0.0	2289.0	11.0
f895c95159deef53debdf9e39145cfb5	140.0	0.0	0.0	213.0	151.0	0.0	0.0	0.0	79.0	224.0	1269.0	0.0	0.0	0.0	0.0	0.0	8290.0	7320.0	9.0	0.0	12.0	1875.0	0.0	0.0	0.0	1551.0	53.0	0.0	370.0	189.0	2084.0	1594.0	0.0	3028.0	164.0	0.0	0.0	0.0	0.0	8.0	78.0	271.0	0.0	0.0	98.0	93.0	0.0	196.0	0.0	0.0	3644.0	0.0	396.0	62.0	6783.0	0.0	17.0	0.0	0.0	53.0	398.0	295.0	0.0	90.0	44.0	0.0	0.0	0.0	0.0	318.0	0.0	0.0	0.0	104.0	76.0	0.0	0.0	0.0	287.0	217.0	0.0	0.0	1186.0	844.0	0.0	0.0	0.0	0.0	1303.0	289.0	0.0	3024.0	0.0	2468.0	0.0	0.0	0.0	0.0	131.0	0.0	3647.0	2757.0	0.0	0.0	0.0	0.0	0.0	122.0	3053.0	2384.0	213.0	2883.0	3085.0	0.0	0.0	48.0	0.0	0.0	0.0	108.0	1338.0	0.0	2529.0	0.0	717.0	5052.0	0.0	0.0	1010.0	0.0	0.0	0.0	0.0	87.0	201.0	0.0	789.0	0.0	0.0	217.0	72.0	0.0	0.0	336.0	163.0	0.0	0.0	76.0	90.0	0.0	147.0	0.0	528.0	427.0	0.0	0.0	0.0	160.0	270.0	316.0	61.0	0.0	1565.0	9235.0	0.0	0.0	102.0	679.0	293.0	0.0	300.0	119.0	57.0	0.0	0.0	540.0	0.0	0.0	0.0	153.0	42.0	0.0	4324.0	544.0	0.0	1658.0	0.0	0.0	874.0	89.0	352.0	2735.0	0.0	0.0	0.0	177.0	4914.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	1849.0	0.0	0.0	0.0	0.0	155.0	91.0	0.0	0.0	0.0	5089.0	743.0	0.0	0.0	0.0	1513.0	272.0	0.0	1705.0
a6ac74093ebef76b255767fe9943d8c7	197.0	126.0	42.0	35.0	296.0	2463.0	0.0	0.0	204.0	202.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	5.0	702.0	0.0	17.0	125.0	17.0	152.0	756.0	5726.0	91.0	0.0	2454.0	4694.0	3996.0	0.0	4094.0	0.0	0.0	0.0	9.0	0.0	281.0	0.0	0.0	0.0	0.0	66.0	12.0	0.0	0.0	94.0	2015.0	29.0	0.0	2197.0	727.0	234.0	2165.0	1283.0	123.0	1058.0	2156.0	0.0	1079.0	215.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	4804.0	0.0	0.0	0.0	205.0	0.0	392.0	251.0	0.0	3810.0	521.0	131.0	0.0	719.0	3570.0	274.0	131.0	0.0	45.0	3128.0	698.0	4234.0	219.0	484.0	0.0	104.0	108.0	0.0	28.0	352.0	0.0	4414.0	1808.0	0.0	6.0	15.0	119.0	126.0	0.0	0.0	0.0	2874.0	87.0	0.0	230.0	0.0	0.0	0.0	980.0	0.0	0.0	1997.0	0.0	5.0	996.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0	66.0	54.0	3390.0	5635.0	98.0	0.0	0.0	0.0	204.0	595.0	423.0	421.0	280.0	463.0	0.0	0.0	0.0	0.0	453.0	453.0	33.0	142.0	101.0	100.0	20.0	0.0	266.0	570.0	898.0	2980.0	754.0	412.0	35.0	18.0	682.0	1607.0	893.0	406.0	203.0	20.0	0.0	0.0	0.0	0.0	680.0	0.0	63.0	0.0	17.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	473.0	221.0	96.0	0.0	0.0	0.0	326.0	338.0	7885.0	169.0	0.0	0.0	0.0	51.0	0.0	85.0	76.0	1637.0	0.0	10.0	0.0	0.0	0.0	283.0	1279.0	0.0	102.0	0.0	94.0	322.0	199.0	49.0	0.0	660.0	471.0	0.0	0.0	662.0	0.0	102.0	0.0	48.0	234.0
848fce27f16382820ca284a9172b2a6f	3786.0	0.0	0.0	0.0	0.0	807.0	0.0	0.0	0.0	1643.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	61.0	378.0	829.0	113.0	44.0	0.0	0.0	764.0	0.0	332.0	220.0	200.0	1414.0	62.0	4962.0	3584.0	43.0	0.0	0.0	0.0	351.0	3642.0	2655.0	0.0	4602.0	0.0	0.0	281.0	0.0	248.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	97.0	147.0	0.0	0.0	6387.0	2201.0	0.0	589.0	245.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	106.0	211.0	1660.0	2042.0	504.0	0.0	2077.0	1960.0	0.0	0.0	0.0	0.0	0.0	438.0	0.0	256.0	499.0	585.0	0.0	0.0	1144.0	0.0	161.0	93.0	0.0	0.0	3063.0	43.0	281.0	1375.0	86.0	0.0	502.0	0.0	0.0	0.0	214.0	228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4112.0	194.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	14.0	437.0	223.0	0.0	500.0	0.0	0.0	0.0	0.0	0.0	0.0	3113.0	1103.0	0.0	0.0	796.0	70.0	1632.0	3616.0	309.0	6074.0	7107.0	0.0	392.0	0.0	2440.0	1091.0	604.0	0.0	0.0	0.0	0.0	0.0	564.0	572.0	2391.0	210.0	25.0	3047.0	0.0	0.0	0.0	30.0	4246.0	623.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	309.0	0.0	0.0	0.0	0.0	1030.0	201.0	897.0	8.0	0.0	0.0	0.0	0.0	0.0	312.0	531.0	85.0	367.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	802.0	2044.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0
b8bedcfc2b6ef33bc6af3ede63f0e303	0.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	974.0	0.0	0.0	0.0	0.0	4868.0	656.0	0.0	0.0	0.0	0.0	1678.0	125.0	45.0	1112.0	83.0	0.0	0.0	0.0	312.0	0.0	0.0	233.0	0.0	0.0	0.0	0.0	523.0	0.0	0.0	982.0	0.0	0.0	24.0	0.0	0.0	48.0	2819.0	847.0	5782.0	81.0	0.0	1058.0	0.0	1016.0	481.0	0.0	0.0	0.0	38.0	0.0	0.0	493.0	0.0	257.0	1708.0	2110.0	0.0	0.0	104.0	89.0	0.0	0.0	1034.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6409.0	844.0	811.0	75.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	80.0	460.0	395.0	0.0	0.0	0.0	0.0	0.0	0.0	370.0	1012.0	0.0	6631.0	0.0	0.0	0.0	0.0	0.0	61.0	1593.0	5130.0	5589.0	0.0	0.0	15.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	16.0	122.0	0.0	0.0	65.0	0.0	0.0	0.0	97.0	49.0	0.0	705.0	1636.0	933.0	997.0	3273.0	314.0	28.0	100.0	784.0	3541.0	0.0	0.0	79.0	0.0	0.0	226.0	63.0	54.0	0.0	0.0	271.0	615.0	1501.0	0.0	41.0	333.0	1511.0	48.0	462.0	957.0	88.0	8654.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	3816.0	177.0	0.0	83.0	0.0	0.0	243.0	0.0	534.0	608.0	0.0	253.0	0.0	115.0	2256.0	4477.0	124.0	0.0	0.0	0.0	0.0	0.0	1634.0	12.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	425.0	32.0	0.0	0.0	43.0	0.0	0.0	4994.0	410.0	0.0
